2016-10-23 14:43:58 startup archives unpack
2016-10-23 14:43:58 install libpython2.7-minimal:amd64 <none> 2.7.9-2+deb8u1
2016-10-23 14:43:58 status half-installed libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:43:59 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:43:59 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:43:59 install python2.7-minimal:amd64 <none> 2.7.9-2+deb8u1
2016-10-23 14:43:59 status half-installed python2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:43:59 status unpacked python2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:43:59 status unpacked python2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:43:59 install python-minimal:amd64 <none> 2.7.9-1
2016-10-23 14:43:59 status half-installed python-minimal:amd64 2.7.9-1
2016-10-23 14:43:59 status unpacked python-minimal:amd64 2.7.9-1
2016-10-23 14:43:59 status unpacked python-minimal:amd64 2.7.9-1
2016-10-23 14:44:00 install libpython2.7-stdlib:amd64 <none> 2.7.9-2+deb8u1
2016-10-23 14:44:00 status half-installed libpython2.7-stdlib:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:00 status unpacked libpython2.7-stdlib:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:00 status unpacked libpython2.7-stdlib:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:00 install python2.7:amd64 <none> 2.7.9-2+deb8u1
2016-10-23 14:44:00 status half-installed python2.7:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:00 status triggers-pending mime-support:all 3.58
2016-10-23 14:44:00 status unpacked python2.7:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:00 status unpacked python2.7:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:00 install libpython-stdlib:amd64 <none> 2.7.9-1
2016-10-23 14:44:00 status half-installed libpython-stdlib:amd64 2.7.9-1
2016-10-23 14:44:00 status unpacked libpython-stdlib:amd64 2.7.9-1
2016-10-23 14:44:01 status unpacked libpython-stdlib:amd64 2.7.9-1
2016-10-23 14:44:01 trigproc mime-support:all 3.58 <none>
2016-10-23 14:44:01 status half-configured mime-support:all 3.58
2016-10-23 14:44:01 status installed mime-support:all 3.58
2016-10-23 14:44:01 startup packages configure
2016-10-23 14:44:01 configure libpython2.7-minimal:amd64 2.7.9-2+deb8u1 <none>
2016-10-23 14:44:01 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:01 status unpacked libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:01 status half-configured libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:01 status installed libpython2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:01 configure python2.7-minimal:amd64 2.7.9-2+deb8u1 <none>
2016-10-23 14:44:01 status unpacked python2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:01 status half-configured python2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:02 status installed python2.7-minimal:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:02 configure python-minimal:amd64 2.7.9-1 <none>
2016-10-23 14:44:02 status unpacked python-minimal:amd64 2.7.9-1
2016-10-23 14:44:02 status half-configured python-minimal:amd64 2.7.9-1
2016-10-23 14:44:02 status installed python-minimal:amd64 2.7.9-1
2016-10-23 14:44:02 startup archives unpack
2016-10-23 14:44:03 install python:amd64 <none> 2.7.9-1
2016-10-23 14:44:03 status half-installed python:amd64 2.7.9-1
2016-10-23 14:44:03 status unpacked python:amd64 2.7.9-1
2016-10-23 14:44:03 status unpacked python:amd64 2.7.9-1
2016-10-23 14:44:03 install libgfortran3:amd64 <none> 4.9.2-10
2016-10-23 14:44:03 status half-installed libgfortran3:amd64 4.9.2-10
2016-10-23 14:44:03 status unpacked libgfortran3:amd64 4.9.2-10
2016-10-23 14:44:03 status unpacked libgfortran3:amd64 4.9.2-10
2016-10-23 14:44:03 install libblas-common:amd64 <none> 1.2.20110419-10
2016-10-23 14:44:03 status half-installed libblas-common:amd64 1.2.20110419-10
2016-10-23 14:44:03 status unpacked libblas-common:amd64 1.2.20110419-10
2016-10-23 14:44:03 status unpacked libblas-common:amd64 1.2.20110419-10
2016-10-23 14:44:04 install libblas3:amd64 <none> 1.2.20110419-10
2016-10-23 14:44:04 status half-installed libblas3:amd64 1.2.20110419-10
2016-10-23 14:44:04 status unpacked libblas3:amd64 1.2.20110419-10
2016-10-23 14:44:04 status unpacked libblas3:amd64 1.2.20110419-10
2016-10-23 14:44:04 install liblinear1:amd64 <none> 1.8+dfsg-4
2016-10-23 14:44:04 status half-installed liblinear1:amd64 1.8+dfsg-4
2016-10-23 14:44:04 status unpacked liblinear1:amd64 1.8+dfsg-4
2016-10-23 14:44:04 status unpacked liblinear1:amd64 1.8+dfsg-4
2016-10-23 14:44:04 install liblua5.2-0:amd64 <none> 5.2.3-1.1
2016-10-23 14:44:04 status half-installed liblua5.2-0:amd64 5.2.3-1.1
2016-10-23 14:44:04 status unpacked liblua5.2-0:amd64 5.2.3-1.1
2016-10-23 14:44:04 status unpacked liblua5.2-0:amd64 5.2.3-1.1
2016-10-23 14:44:05 install libpcap0.8:amd64 <none> 1.6.2-2
2016-10-23 14:44:05 status half-installed libpcap0.8:amd64 1.6.2-2
2016-10-23 14:44:05 status unpacked libpcap0.8:amd64 1.6.2-2
2016-10-23 14:44:05 status unpacked libpcap0.8:amd64 1.6.2-2
2016-10-23 14:44:05 install libxslt1.1:amd64 <none> 1.1.28-2+deb8u1
2016-10-23 14:44:05 status half-installed libxslt1.1:amd64 1.1.28-2+deb8u1
2016-10-23 14:44:05 status unpacked libxslt1.1:amd64 1.1.28-2+deb8u1
2016-10-23 14:44:05 status unpacked libxslt1.1:amd64 1.1.28-2+deb8u1
2016-10-23 14:44:05 install python-lxml:amd64 <none> 3.4.0-1
2016-10-23 14:44:05 status half-installed python-lxml:amd64 3.4.0-1
2016-10-23 14:44:05 status unpacked python-lxml:amd64 3.4.0-1
2016-10-23 14:44:05 status unpacked python-lxml:amd64 3.4.0-1
2016-10-23 14:44:06 install ndiff:all <none> 6.47-3+deb8u2
2016-10-23 14:44:06 status half-installed ndiff:all 6.47-3+deb8u2
2016-10-23 14:44:06 status unpacked ndiff:all 6.47-3+deb8u2
2016-10-23 14:44:06 status unpacked ndiff:all 6.47-3+deb8u2
2016-10-23 14:44:06 install nmap:amd64 <none> 6.47-3+deb8u2
2016-10-23 14:44:06 status half-installed nmap:amd64 6.47-3+deb8u2
2016-10-23 14:44:06 status unpacked nmap:amd64 6.47-3+deb8u2
2016-10-23 14:44:06 status unpacked nmap:amd64 6.47-3+deb8u2
2016-10-23 14:44:07 startup packages configure
2016-10-23 14:44:07 configure libpython2.7-stdlib:amd64 2.7.9-2+deb8u1 <none>
2016-10-23 14:44:07 status unpacked libpython2.7-stdlib:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:07 status half-configured libpython2.7-stdlib:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:07 status installed libpython2.7-stdlib:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:07 configure python2.7:amd64 2.7.9-2+deb8u1 <none>
2016-10-23 14:44:07 status unpacked python2.7:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:07 status half-configured python2.7:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:08 status installed python2.7:amd64 2.7.9-2+deb8u1
2016-10-23 14:44:08 configure libpython-stdlib:amd64 2.7.9-1 <none>
2016-10-23 14:44:08 status unpacked libpython-stdlib:amd64 2.7.9-1
2016-10-23 14:44:08 status half-configured libpython-stdlib:amd64 2.7.9-1
2016-10-23 14:44:08 status installed libpython-stdlib:amd64 2.7.9-1
2016-10-23 14:44:08 configure python:amd64 2.7.9-1 <none>
2016-10-23 14:44:08 status unpacked python:amd64 2.7.9-1
2016-10-23 14:44:08 status half-configured python:amd64 2.7.9-1
2016-10-23 14:44:08 status installed python:amd64 2.7.9-1
2016-10-23 14:44:08 configure libgfortran3:amd64 4.9.2-10 <none>
2016-10-23 14:44:08 status unpacked libgfortran3:amd64 4.9.2-10
2016-10-23 14:44:08 status half-configured libgfortran3:amd64 4.9.2-10
2016-10-23 14:44:08 status installed libgfortran3:amd64 4.9.2-10
2016-10-23 14:44:08 status triggers-pending libc-bin:amd64 2.19-18+deb8u4
2016-10-23 14:44:08 configure libblas-common:amd64 1.2.20110419-10 <none>
2016-10-23 14:44:08 status unpacked libblas-common:amd64 1.2.20110419-10
2016-10-23 14:44:09 status half-configured libblas-common:amd64 1.2.20110419-10
2016-10-23 14:44:09 status installed libblas-common:amd64 1.2.20110419-10
2016-10-23 14:44:09 configure libblas3:amd64 1.2.20110419-10 <none>
2016-10-23 14:44:09 status unpacked libblas3:amd64 1.2.20110419-10
2016-10-23 14:44:09 status half-configured libblas3:amd64 1.2.20110419-10
2016-10-23 14:44:09 status installed libblas3:amd64 1.2.20110419-10
2016-10-23 14:44:09 configure liblinear1:amd64 1.8+dfsg-4 <none>
2016-10-23 14:44:09 status unpacked liblinear1:amd64 1.8+dfsg-4
2016-10-23 14:44:09 status half-configured liblinear1:amd64 1.8+dfsg-4
2016-10-23 14:44:09 status installed liblinear1:amd64 1.8+dfsg-4
2016-10-23 14:44:09 configure liblua5.2-0:amd64 5.2.3-1.1 <none>
2016-10-23 14:44:09 status unpacked liblua5.2-0:amd64 5.2.3-1.1
2016-10-23 14:44:09 status half-configured liblua5.2-0:amd64 5.2.3-1.1
2016-10-23 14:44:09 status installed liblua5.2-0:amd64 5.2.3-1.1
2016-10-23 14:44:09 configure libpcap0.8:amd64 1.6.2-2 <none>
2016-10-23 14:44:09 status unpacked libpcap0.8:amd64 1.6.2-2
2016-10-23 14:44:09 status half-configured libpcap0.8:amd64 1.6.2-2
2016-10-23 14:44:09 status installed libpcap0.8:amd64 1.6.2-2
2016-10-23 14:44:09 configure libxslt1.1:amd64 1.1.28-2+deb8u1 <none>
2016-10-23 14:44:09 status unpacked libxslt1.1:amd64 1.1.28-2+deb8u1
2016-10-23 14:44:09 status half-configured libxslt1.1:amd64 1.1.28-2+deb8u1
2016-10-23 14:44:09 status installed libxslt1.1:amd64 1.1.28-2+deb8u1
2016-10-23 14:44:10 configure python-lxml:amd64 3.4.0-1 <none>
2016-10-23 14:44:10 status unpacked python-lxml:amd64 3.4.0-1
2016-10-23 14:44:10 status half-configured python-lxml:amd64 3.4.0-1
2016-10-23 14:44:10 status installed python-lxml:amd64 3.4.0-1
2016-10-23 14:44:10 configure ndiff:all 6.47-3+deb8u2 <none>
2016-10-23 14:44:10 status unpacked ndiff:all 6.47-3+deb8u2
2016-10-23 14:44:10 status half-configured ndiff:all 6.47-3+deb8u2
2016-10-23 14:44:10 status installed ndiff:all 6.47-3+deb8u2
2016-10-23 14:44:10 configure nmap:amd64 6.47-3+deb8u2 <none>
2016-10-23 14:44:10 status unpacked nmap:amd64 6.47-3+deb8u2
2016-10-23 14:44:10 status half-configured nmap:amd64 6.47-3+deb8u2
2016-10-23 14:44:10 status installed nmap:amd64 6.47-3+deb8u2
2016-10-23 14:44:10 trigproc libc-bin:amd64 2.19-18+deb8u4 <none>
2016-10-23 14:44:10 status half-configured libc-bin:amd64 2.19-18+deb8u4
2016-10-23 14:44:10 status installed libc-bin:amd64 2.19-18+deb8u4
2016-10-23 14:44:11 startup packages configure
